name,count,similarity
shitlery,898,0.655062985978
carpetmuncher,240,0.572582125664
hiilary,248,0.560609872783
hilda,8958,0.635733710732
billery,208,0.507145815171
hil,2924,0.590536046962
hillz,194,0.632182717323
hag,2955,0.552319110892
hilbillary,609,0.533079504967
hrc,75558,0.84561622181
hiliery,108,0.525852680206
shitlary,2263,0.581037718192
hillarious,3565,0.602342909182
shillery,943,0.634039809886
killery,18091,0.781175389814
hilldabeast,3617,0.656846620248
billary,7198,0.625008052034
crookary,268,0.622768998146
hildabeast,38724,0.777966913484
hillay,457,0.603172051828
killary,57877,0.823147932528
hilllary,1326,0.690501396967
hill-o-lies,226,0.504143238068
hildabeest,426,0.609330892563
cunton,321,0.639409057076
hilbilly,203,0.568747460842
hillery,11666,0.797378132233
hillnocchio,316,0.566658735275
kilary,340,0.565221981266
reptillary,1315,0.536042051352
hiillary,130,0.546404267274
hil-liar-y,3137,0.705065786611
hildebeest,2004,0.673665123339
shilliary,1256,0.647345662117
hillory,581,0.606173621808
hillzy,258,0.540196180344
hiltery,343,0.578861243176
hillaroid,1960,0.67625617981
hilabeast,136,0.535351634026
keglegs,604,0.604807078838
hagbag,374,0.506326138973
hills,224,0.5114620924
hitliary,230,0.574864548186
hiliary,11547,0.82838152433
cankles,33545,0.715708417439
hillbag,6367,0.708110483481
cackles,1006,0.557103157043
hilldog,6424,0.753309619753
shrillary,18163,0.751187191036
hagzilla,194,0.57190322876
hellery,5332,0.623791793472
hillbill,141,0.617508172989
hilly,9053,0.666453448992
hitler-y,172,0.526551921007
shillariah,142,0.585787892342
hilliary,32163,0.820391551482
hilary,55293,0.899435802297
kkklinton,195,0.592293024063
hilldebeast,767,0.640320897569
hitlery,65683,0.845083534388
cliton,231,0.574198848241
hilarity,2159,0.529439600876
hillarity,1880,0.640548094188
hildapig,221,0.510019540787
shrillery,1888,0.58450221324
hillie,102,0.572241604328
hellary,23552,0.825412060192
hc,6187,0.658369369695
hilldawg,107,0.593363404274
hillbags,1476,0.688093900681
shillary,8627,0.769912782371
hildog,1054,0.634180307388
broomhilda,224,0.58373927937
hillbillary,1392,0.624165344298
kiliary,169,0.548993703529
kankles,1681,0.637075522342
hilda-beast,316,0.578818321228
helliary,136,0.606745004654
skankles,339,0.518264710903
hildebeast,18027,0.7570001286
canckles,366,0.549216449261
c-unton,129,0.533440709114
hilbag,276,0.573095023632
clinnochio,248,0.618363499641
hrilliary,289,0.548452078059
illary,4243,0.750101098047
hellbelly,238,0.581413030624
killiary,712,0.5722010067
cinton,310,0.528664033259
swillary,368,0.613867328057
klinton,527,0.563813248441
clintoon,2234,0.556427866541
hilliar,1398,0.635864638464
hillinsky,443,0.537301540375
hillarry,137,0.535793185234
hitlary,15895,0.749189452189
hitllary,619,0.562560543201
hllary,313,0.624088616798
